symbol,marketcap,outstanding_shares
A,40794359003,300112992
AA,15878647411,184420992
AAIC,105752328,30388600
AAL,11003262000,649160000
AAN,665206050,31935000
AAON,2787287910,52570500
AAP,13292201538,61091100
AAPL,2809221504983,16319399936
AAT,2183698704,60523800
AAWW,1966216610,29215700
AB,4764048691,99271696
ABB,61327676974,1929149952
ABBV,306060987310,1766279936
ABC,34072598737,209136992
ABCB,2820520750,69676896
ABCM,4406613904,228915008
ABG,3569854180,23188400
ABM,3188318688,66869100
ABMD,14452303824,45516200
ABR,2672449920,159264000
ABST,417326529,50462700
ABT,217560535496,1763480064
ABTX,858681152,20367200
ABUS,439980320,148642000
AC,120470682,3088200
ACA,2683781595,48312900
ACAD,4362180240,161204000
ACB,758148662,214772992
ACC,7920815985,139156992
ACCD,1074012736,66958400
ACCO,742758198,96839400
ACEL,1106158072,92798496
ACET,757266129,39877100
ACGL,17928412160,378556000
ACGLO,9533536929,402939008
ACH,9736970214,680907008
ACI,17358574800,499240000
ACIU,357290120,83479000
ACIW,3068756880,115064000
ACLS,2049351200,33182500
ACM,10743482038,141343008
ACMR,1022561376,53649600
ACN,216477467972,633401024
ACNB,300561042,8679210
ACRE,720137025,47222100
ACRS,991429500,61275000
ACTG,211459885,46474700
ACU,117906569,3520650
ADBE,213910200000,472500000
ADC,4820466978,71382600
ADCT,1095317673,76810496
ADI,84384545040,523315008
ADM,52861683944,562478016
ADMA,415350400,195920000
ADNT,3138663168,94766400
ADP,100180730592,420044992
ADPT,1866077120,141584000
ADSK,44498159160,217308000
ADT,6122659629,856316032
ADTN,878296588,49314800
ADUS,1425151680,15952000
ADV,1899158442,318116992
ADVM,124425887,98750704
ADX,2151557540,117829000
AE,165411237,4367870
AEE,24983305600,258092000
AEG,10891280000,1998400000
AEHR,253655010,26841800
AEIS,3045634983,37558700
AEL,3590998368,96949200
AEM,28692869764,455587008
AENZ,383901840,181944000
AEO,2677834120,168842000
AEP,52155024217,504547008
AER,11990000091,245395008
AERI,390522633,48391900
AES,16838376052,667395008
AFG,12441947532,85090600
AFL,42319312560,649368000
AFMD,582655680,123444000
AFYA,671769252,46265100
AG,3426596940,260182000
AGCO,10096646717,74541504
AGEN,640313460,257154000
AGFS,101165582,52417400
AGI,3339899708,392007008
AGIO,1620548250,54637500
AGLE,131303186,49362100
AGM,989407685,9235580
AGNC,6555159600,522740000
AGNCM,11769002160,477832000
AGNCN,11611317600,477832000
AGO,3895500020,65691400
AGR,18316064882,386577984
AGS,209607993,36967900
AGX,630002323,15714700
AGYS,953477694,24714300
AHCO,2086302220,133909000
AHH,965430519,67324304
AHT,279729309,34491900
AIG,49713251680,806248000
AIMC,2268610817,65059100
AIN,2615706000,31860000
AIR,1734845343,35196700
AIT,3879491720,38456500
AIV,1063315320,152556000
AIZ,10718758216,57708400
AJG,38034460300,209614000
AJRD,3473871346,80544200
AJX,244225115,23149300
AKAM,19201924385,160900992
AKR,1950077604,93618704
AKRO,505236147,35012900
AKTS,331861468,54672400
AKU,106832400,89027000
AKUS,145687471,34605100
AL,4825877760,114249000
ALB,24810177200,117112000
ALBO,690058116,19361900
ALC,39819569400,490087008
ALCO,284461957,7545410
ALDX,276551240,58099000
ALE,3723078304,56988800
ALEC,1102614912,82039800
ALEX,1628040960,72680400
ALG,1624929358,11936600
ALGM,4825714740,189914000
ALGN,33269979336,78805200
ALGT,2722776960,18112000
ALJJ,109414704,42408800
ALK,6733045800,126087000
ALKS,4795901853,161968992
ALL,39082559613,278345984
ALLE,9568586880,88230400
ALLK,334708920,54691000
ALLO,1293333120,142752000
ALLT,292374400,36546800
ALLY,13990630792,331452992
ALNY,19586495500,120718000
ALOT,108265786,7256420
ALPN,269317216,30294400
ALRM,3127319635,50318900
ALRS,470044226,17402600
ALSN,3523336080,97061600
ALT,255446157,43222700
ALTG,414575154,32363400
ALTR,3187077520,51906800
ALV,6447783904,87534400
ALVR,444349400,65345500
ALX,1302410023,5107290
ALXO,717948003,40630900
ALYA,213098240,85239296
AM,5173306977,477683008
AMAT,108127548979,883395008
AMBA,3570905793,38065300
AMBC,380890140,46337000
AMC,10128000584,513329984
AMCR,17453307453,1513730048
AMCX,1160910086,30891700
AMD,168789779200,1627360000
AME,30583924358,231171008
AMED,5438622297,32525700
AMEH,2085817392,45030600
AMG,5371290855,39778500
AMGN,140170775547,557028992
AMH,14266488960,347624000
AMK,1602213117,73563504
AMKR,4747957740,244614000
AMN,4760715336,45970600
AMNB,399632200,10714000
AMOT,423355036,15462200
AMOV,70092856548,3210850048
AMP,31989926100,110577000
AMPH,1934060973,48146900
AMPY,225340064,38064200
AMRC,2550906052,33724300
AMRK,871609800,11514000
AMRN,1400485084,396737984
AMRS,1418079336,317955008
AMRX,641722174,150639008
AMSC,208594941,28457700
AMSF,934898748,19364100
AMSWA,622662282,31736100
AMT,121142318924,455884992
AMTB,992266965,34634100
AMTI,259367669,38653900
AMTX,415388192,33826400
AMWD,782960850,16570600
AMWL,951423937,230368992
AMX,69996531046,3210850048
AMYT,502108765,63962900
AMZN,1605753922360,508844000
AN,6145752024,61371600
ANAB,724186708,27672400
ANAT,5092166808,26887200
ANDE,1790817182,33987800
ANET,40815586000,307300000
ANF,1600784634,50625700
ANGI,437840128,79607296
ANGO,909455283,38716700
ANIK,360662310,14467000
ANIP,518526448,17261200
ANNX,102579176,38563600
ANSS,27074688727,87026096
ANTM,124154519760,241236000
ANVS,104906372,8163920
ANY,131615496,64517400
AON,71348184560,213944000
AOS,8299333170,131049000
AOSL,1255781948,26707400
AOUT,178250535,13352100
AP,101517745,19190500
APA,14224007328,346927008
APAM,2546863179,66515100
APD,55733000279,221716992
APEI,411823776,18856400
APEN,236154868,39623300
APG,4637585220,232576992
APH,44303594167,598940032
API,1043997710,115871000
APLE,3783535038,228888992
APO,34602000000,600000000
APOG,1121682705,24865500
APPF,2220610737,20003700
APPN,2283637736,40735600
APPS,3902688300,96961200
APRN,123651620,32539900
APSG,812725950,81681000
APTO,130965464,92229200
APTS,1390580765,55734700
APTV,29860252182,270915008
APYX,211046705,34428500
AQB,132264035,71109696
AQN,10738538772,673684992
AQUA,5313774500,120850000
AR,9919564892,314707008
ARAY,298601883,92733504
ARC,158564552,43205600
ARCB,1743116400,24592500
ARCE,653508814,29450600
ARCH,2194919776,15476800
ARCO,1035995320,130478000
ARCT,724521250,26375000
ARDX,138111640,130294000
ARE,32557998708,159943008
AREC,157123858,65742200
ARES,13692720640,171159008
ARGO,1462193799,34888900
ARGX,17832024522,54238600
ARI,1860762734,140540992
ARL,274099440,16152000
ARLO,725850336,84795600
ARLP,1947355450,127195000
ARMK,9111122080,256796000
ARMP,180561500,36112300
ARNC,2642429000,105025000
AROC,1450464640,155296000
AROW,499218720,16000600
ARQT,1036322771,50380300
ARR,781837232,96048800
ARRY,1550278020,148922000
ARTNA,415126349,8534670
ARVN,3721749456,53046600
ARW,7473443600,67026400
ARWR,5168594600,105460000
ASA,428621578,19289900
ASAN,3774588290,103669000
ASAQ,247000000,25000000
ASB,3241202400,149640000
ASC,165676938,33335400
ASGN,5841636000,51600000
ASH,5544791156,56223800
ASIX,1361752668,28141200
ASM,105781130,116243000
ASMB,109714512,48120400
ASML,251747020595,402601984
ASND,6506840356,56937700
ASO,3355093896,87145296
ASPN,1072227285,35824500
ASPS,187729614,15936300
ASR,6198000000,30000000
ASRT,150956559,45332300
ASTE,918444984,22767600
ASUR,130428501,20035100
ASX,14833457211,2140470016
ASYS,140021396,14030200
ATCO,3290146560,247008000
ATCX,418581528,35115900
ATEC,1248330366,99786600
ATEN,1019101296,76394400
ATEX,1065927949,18374900
ATGE,1309913088,45107200
ATHA,460142743,37624100
ATHM,3813139800,124980000
ATHX,131700404,243980000
ATI,3454461150,124845000
ATKR,4047814464,44856100
ATLC,694227072,14884800
ATLO,219303140,9092170
ATNI,645453688,15689200
ATNM,114041600,22144000
ATO,16368311520,135432000
ATOM,269021800,23393200
ATOS,149416320,126624000
ATR,7866816000,65556800
ATRA,844396103,93097696
ATRC,2854575934,46026700
ATRI,1322970749,1795100
ATRO,294196500,25145000
ATRS,687228240,170106000
ATSG,2153922440,74222000
ATTO,385282716,14149200
ATUS,3224929435,270320992
ATVI,62428202833,779281024
AU,9704589834,417940992
AUB,2673464640,75521600
AUBN,115145598,3516970
AUDC,812463205,32304700
AUPH,1716846480,141654000
AUTL,406358331,90907904
AUY,5564247807,961009984
AVA,3324423180,72191600
AVAL,5079748946,1113980032
AVAN,592200000,60000000
AVAV,2594824345,24914300
AVB,34845763680,139752000
AVD,627251096,30944800
AVDL,393154452,59032200
AVEO,205813959,34474700
AVGO,246213852226,408280992
AVID,1541906800,44680000
AVIR,560108288,83225600
AVLR,8375092218,87486600
AVNS,1599821580,47318000
AVNT,4196379960,91424400
AVNW,323493544,11201300
AVO,890663265,70631504
AVT,3730909021,98963104
AVTR,19742945165,610291968
AVXL,912575254,76174896
AVY,14308409127,82355296
AVYA,1036120429,84927904
AWH,106072280,112139000
AWI,4362341865,47084100
AWK,31105207051,181752992
AWR,3332475080,36945400
AX,2471708926,59501900
AXGN,315553760,41795200
AXL,762416820,114477000
AXLA,145485663,52521900
AXNX,3007126280,46957000
AXP,138121945087,757289024
AXS,4917849388,85275696
AXSM,1700665720,38476600
AXTA,5577399521,224532992
AXTI,279672855,42960500
AXU,218903921,155251008
AY,3952652650,112451000
AYI,5724093612,34580400
AYX,4343201928,59873200
AZEK,3454313302,155040992
AZN,220053595692,3098909952
AZO,42786090351,19848900
AZPN,11185883600,66662000
AZRE,1054173445,64161500
AZUL,1788323040,115227000
AZZ,1165248513,24692700
B,1923863865,50694700
BA,105070822721,590385024
BABA,280225628337,2687500032
BAC,317674841702,8064860160
BAH,11907934880,133258000
BAK,7634272787,398032992
BALY,1450396605,52041500
BAM,88264141701,1567190016
BANC,1130884447,62239100
BAND,754660800,23292000
BANF,2683826456,32725600
BANR,1907527294,34252600
BAP,12684471981,79761504
BATRA,290536929,10313700
BATRK,1121181390,41494500
BAX,39254397346,503196992
BB,3902722372,576473024
BBAR,698490513,204236992
BBBY,1914230020,96337696
BBCP,360869580,56740500
BBD,47192315290,10628899840
BBDC,1147533930,111303000
BBDO,38901773414,10628899840
BBIG,508784138,187052992
BBIO,1697492000,147608000
BBQ,154985904,10500400
BBSI,548078877,7422520
BBU,2119961139,76312496
BBVA,34508337777,6474359808
BBW,270388368,16327800
BBY,20736741960,225228000
BC,5729968240,76614096
BCBP,297228750,16984500
BCC,2645737118,39447400
BCE,52749164160,910096000
BCH,11041157925,505084992
BCLI,129526010,36486200
BCML,294099246,13685400
BCO,3061238348,47564300
BCOR,908715780,48080200
BCOV,314369988,41528400
BCPC,4395497688,32187300
BCRX,3301756560,184662000
BCS,31889705731,4190500096
BCYC,1116755178,29598600
BDC,2249140082,44991800
BDN,2181718320,171384000
BDTX,125862105,36271500
BDX,77863214108,284671008
BE,3745577400,161796000
BEAM,3668136324,68730304
BECN,3915221940,70443000
BEEM,248376150,10035400
BEKE,21747040297,1497730048
BELFB,170118840,10373100
BEN,13235988640,502124000
BEP,10986935479,275086016
BEPC,7218117055,172228992
BERY,7551093000,135300000
BEST,231149680,389600000
BFAM,8053957418,59281300
BFC,535493940,7584900
BFIN,137056400,13178500
BFS,1270003947,23787300
BFST,510981813,22500300
BG,16662533680,142732000
BGCP,1294004758,321092992
BGFV,369515274,22219800
BGNE,21922877600,102640000
BGS,1854025365,68846096
BGSF,131670276,10425200
BH,285575752,2068640
BHB,417650532,15012600
BHC,8379752173,359646016
BHE,845111183,35198300
BHF,3777878720,76630400
BHFAP,2988745200,118601000
BHLB,1336709007,48378900
BHP,195785230950,2531160064
BHR,392300700,71327400
BHVN,8640317532,71020200
BIDU,46894727296,345551008
BIG,980093400,28557500
BIGC,1558448892,72621104
BIIB,31103251013,146963008
BILI,10572283371,382915008
BILL,21303085440,103584000
BIO,14833265800,24863000
BIOX,576557010,46309800
BIP,20400994145,305267008
BIPC,5587031322,73542600
BIVI,120423362,24984100
BJ,9420242700,135290000
BJRI,587412098,23412200
BK,38547381796,807105984
BKD,1269373985,185580992
BKE,1609048188,50094900
BKEP,139383144,41856800
BKH,5039344722,64831400
BKI,10590301146,155283008
BKNG,90492657640,40887700
BKR,34938622871,967292992
BKU,3548708127,84674496
BL,4200880710,59292600
BLBD,572038117,31975300
BLD,5582406258,33006600
BLDP,3305690822,297809984
BLDR,10583399031,176772992
BLFS,922301450,42095000
BLI,428908608,67651200
BLK,113862733380,152042000
BLKB,3093598326,52999800
BLL,28179928760,321212000
BLMN,1814184064,89633600
BLNK,1101630772,42435700
BLU,858672210,106403000
BLUE,340736822,71433296
BLX,417276499,27799900
BMA,1088280926,63941300
BMI,2882235876,29249400
BMO,76803538345,671476992
BMRC,524682627,16001300
BMRN,15339067200,184032000
BMY,164192952000,2125200000
BNED,177476860,52046000
BNFT,416612581,33516700
BNGO,671902141,289612992
BNL,3565127096,163612992
BNR,981705720,104548000
BNS,83734755512,1204470016
BNTX,41737700880,246808000
BOH,3206657368,40391200
BOKF,6108373326,68105400
BOOM,543837125,19457500
BOOT,2723121778,29670100
BORR,586892649,151260992
BOX,4140650880,143424000
BP,96762819656,3240549888
BPMC,4047151260,59203500
BPOP,6093982520,76490304
BPRN,187797203,6486950
BR,18550558780,116773000
BRBS,275729831,18769900
BRC,2191328940,48066000
BRFS,4113386061,1082470016
BRG,776576324,29260600
BRKL,1191630364,78139696
BRKR,9853015027,150772992
BRMK,1107426900,132785000
BRO,20781153626,283121984
BROG,818622360,109588000
BRP,1491995901,58670700
BRT,435091444,18530300
BRX,7478862840,297844000
BRY,914768441,80313296
BSAC,10265596024,471115008
BSBK,157631440,14461600
BSBR,57288767611,7498529792
BSET,162286824,9659930
BSIG,976661712,43934400
BSM,3005025660,209118000
BSMX,7323803827,1356259968
BSRR,364582550,15254500
BSVN,209991312,9094470
BSX,64268071281,1429449984
BSY,11752122720,272292000
BTAI,493012886,27980300
BTBT,220079464,69645400
BTG,4876642400,1057840000
BTI,97450795366,2282220032
BTU,3753759000,138260000
BUD,101572916471,1737180032
BUR,2045927000,219050000
BURL,12876143640,66099300
BUSE,1356278418,55290600
BV,1252173000,99300000
BVH,445408850,17795000
BVN,2600826962,253987008
BW,687219404,86334096
BWA,8720618529,239972992
BWAY,147330306,16479900
BWB,458811672,28217200
BWFG,261518692,7867590
BWMX,635481450,36585000
BWXT,5067327837,91451504
BX,80992753605,700387008
BXC,602280059,9731460
BXMT,5280802560,168608000
BXP,19172442120,156676000
BY,940446342,37829700
BYD,6781973240,109972000
BYND,2788230276,63455400
BZH,443896367,31459700
BZUN,583928898,69598200
C,98682674900,1972470016
CAAP,1029522920,160612000
CABO,8968583588,6059690
CAC,689874120,14740900
CACC,7582820256,14114400
CACI,7138473944,23405600
CADE,4937097060,185118000
CAE,8260603040,316984000
CAG,16516001589,479697984
CAH,16451881705,277060992
CAJ,25119395016,1045769984
CAKE,1861303999,52743100
CAL,760204780,37633900
CALB,190651426,8285590
CALM,2498782383,44140300
CALT,534618988,26258300
CALX,2563820032,64612400
CAMP,219730032,35903600
CAMT,1398732060,43847400
CAN,895213460,171826000
CANG,354668220,145954000
CAPL,836377962,37896600
CAR,13532204400,53767500
CARA,729924140,53513500
CARE,437679080,25358000
CARG,4270441440,102066000
CARR,37267874781,853006976
CARS,903365424,69170400
CASA,341031876,84833800
CASS,520582600,13660000
CASY,7711769700,37111500
CATO,274987485,19516500
CATY,3211734888,75286800
CB,90056540880,423636000
CBAN,311980962,17586300
CBAT,103784850,88705000
CBAY,282824199,84677904
CBD,1437714943,269235008
CBFV,119743218,5156900
CBNK,310511128,13999600
CBOE,12523930660,106189000
CBRE,28835667404,332323008
CBRL,2574812188,23225800
CBSH,8460744600,121110000
CBT,3669653980,56586800
CBTX,719060370,24608500
CBU,3667599345,53911500
CBZ,2171979346,52450600
CC,5037255720,159306000
CCAP,500534698,28167400
CCB,561304480,12918400
CCBG,416596403,16941700
CCCC,1116120810,48738900
CCEP,21952414644,456771008
CCF,806532317,9459680
CCI,85099058744,433030016
CCJ,12183660265,398288992
CCK,14952644080,123596000
CCL,18546996590,989700992
CCLP,196993530,141214000
CCMP,5081954608,28577600
CCNE,424463590,16910900
CCO,1531877776,471347008
CCOI,3388164362,47984200
CCRN,773822823,38063100
CCS,1584114053,33286700
CCU,2686279656,184751008
CCXI,1693893306,71142096
CD,2129342594,362750016
CDAK,132714010,22493900
CDAY,9549744800,152066000
CDE,1253756134,279232992
CDEV,2556369342,284991008
CDK,6364728000,116784000
CDLX,1674312774,33742700
CDMO,1165734272,61744400
CDNA,1998516019,53025100
CDNS,45411476880,278376000
CDR,383747994,13637100
CDW,23928270080,134944000
CDXC,168724218,68309400
CDXS,1303214000,65160700
CDZI,111147318,50752200
CE,15246132770,108029000
CEA,6217243698,377488992
CECE,172784668,35047600
CEI,284415674,360111008
CEIX,1331975988,34813800
CELC,120108415,14920300
CELH,3983847212,75337504
CENT,507385932,11335700
CENTA,1765466430,42175500
CENX,2494271944,91231600
CEPU,616025000,150250000
CEQP,2992251052,97978096
CERE,5285330256,148007008
CERN,27424730560,293344000
CERS,925938260,173722000
CET,1113014448,27266400
CEVA,869685920,23204000
CF,22000883940,209114000
CFB,737597553,49938900
CFBK,115952130,5258600
CFFI,180882098,3552280
CFFN,1448174293,138847008
CFG,17582256283,422143008
CFMS,113376554,185559008
CFR,8921761425,64070100
CFRX,150644241,39332700
CG,15717187686,356318016
CGC,2648829174,394171008
CGEN,268888112,86459200
CGNX,13219269840,173892000
CHCO,1128586569,15065900
CHCT,1046797750,25073000
CHD,25099620320,242696000
CHDN,7874366400,38151000
CHE,7839937116,14988600
CHEF,1221147480,38256500
CHGG,4754740480,134848000
CHH,7615547016,55563600
CHKP,19133535840,132798000
CHMG,218226765,4672950
CHMI,134041612,18261800
CHNG,7399667670,311959008
CHPM,189459980,18611000
CHRA,143319462,33407800
CHRS,971259776,77329600
CHRW,12766611550,126565000
CHS,569666850,122509000
CHT,34373262013,775745024
CHTR,105796048220,191492992
CHUY,458639895,18991300
CHWY,4764125460,109294000
CHX,4736796800,203296000
CI,81227521969,318376992
CIA,208371550,49028600
CIB,10293963828,240456992
CIDM,140640926,175188000
CIEN,8847648160,152126000
CIG,5416672051,1692710016
CIGI,5292264621,42932300
CIM,2623080780,236954000
CINF,21978539706,160439008
CIO,716034336,43554400
CIR,496523580,20258000
CIVB,345273591,14888900
CIX,283146609,12380700
CIXX,2988564302,195843008
CIZN,108221546,5587070
CJJD,116070004,41751800
CKPT,141267262,83590096
CL,67600490990,840593024
CLAR,804251028,37199400
CLB,1509774294,46283700
CLBK,2303674590,106701000
CLDT,625668562,48804100
CLDX,1723586800,46735000
CLF,16461229398,524409984
CLFD,846118500,13762500
CLGN,110445345,11011500
CLH,5933409300,54405000
CLLS,208318094,45484300
CLMT,1028299293,78676304
CLNE,1722180960,222504000
CLPR,147138912,16063200
CLPT,266514750,23690200
CLR,22196676165,364297984
CLS,1192332660,105891000
CLSD,142549812,60147600
CLSK,461965774,41469100
CLVS,384061478,142244992
CLW,433698000,16810000
CLX,17986157280,123058000
CM,52389183041,450969984
CMA,11563360690,131089000
CMBM,570884055,26739300
CMC,5106476880,121496000
CMCL,194293134,12833100
CMCM,139413019,140807008
CMCO,1096121065,28507700
CMCSA,213296690202,4523789824
CMCT,178074066,23369300
CMCTP,1089184137,43795100
CME,87806063654,359419008
CMG,43267277286,28019400
CMI,27862329819,142075008
CMLS,186498820,18706000
CMP,2123716860,34099500
CMPR,1627148808,26101200
CMPS,547099098,42019900
CMRE,1893722400,124260000
CMRX,438619588,87027696
CMS,20994312741,290136992
CMTL,388460865,26516100
CNA,12947851840,271216000
CNC,51619410708,582875008
CNCE,122686083,34953300
CNDT,1158964937,215420992
CNF,220148862,68582200
CNHI,19730964000,1356080000
CNI,88902592000,699800000
CNK,1883573120,119744000
CNMD,4350798816,29411200
CNNE,2082582880,86486000
CNO,2861208590,117407000
CNOB,1228178959,39605900
CNP,20148118320,629432000
CNQ,73309774418,1162540032
CNR,3091423400,127010000
CNS,4259263750,48677300
CNSL,685086390,113613000
CNTG,115052600,27071200
CNTY,334167744,29624800
CNX,4159470080,198448000
CNXC,8060100640,51664000
CNXN,1401238936,26260100
CO,458247270,121551000
CODI,1630693138,69450304
CODX,200055617,33965300
COF,52457189769,405670016
COFS,187148898,7516020
COGT,402244286,45813700
COHR,6679764756,24772900
COHU,1322883360,48564000
COKE,4120053777,8368990
COLB,2361973062,78706200
COLD,7659962640,268488000
COLL,688917792,33377800
COLM,5604906816,64513200
COMM,1406335200,206814000
CONN,364067742,23610100
COO,20508479568,49301600
COOP,2964355681,73776896
COP,129553162798,1296050048
CORT,2680838600,105962000
COST,269502353200,443224000
COTY,7146388424,838777984
COUP,7861662180,75066000
COWN,619463760,27458500
CP,70956459971,929723008
CPA,2386312749,30995100
CPAC,566813668,85621400
CPB,13624952640,301704000
CPE,3719759962,61493800
CPF,746437556,27635600
CPG,4004975828,574601984
CPK,2458276379,17696900
CPLP,335334363,19394700
CPRI,7039759732,147615008
CPRT,29658624361,237496992
CPRX,846618800,102745000
CPS,126266163,16994100
CPSI,498990375,14784900
CPSS,237344184,21267400
CPT,17858748430,103463000
CQP,26805415703,484027008
CR,5819930904,56879700
CRAI,616363491,7400210
CRC,3537693904,78043104
CRDF,102635457,43306100
CRESY,468215448,58969200
CRH,29445235507,766803008
CRHC,823860000,82800000
CRI,3577103200,40648900
CRIS,133802284,91645400
CRK,3244617501,232923008
CRL,15342313980,50799000
CRM,198158400000,990000000
CRMD,207194800,38728000
CRMT,511695384,6439660
CRNC,1333622730,39166600
CRNT,172804842,83480600
CRNX,1098567954,47784600
CRON,1338582181,374952992
CROX,4417870734,61206300
CRS,1956845530,48269500
CRSP,4927702344,77067600
CRSR,1978256000,95200000
CRTO,1631949136,60757600
CRTX,170322075,30145500
CRUS,4517305836,57282600
CRVL,3080768220,17620500
CRWD,45588887740,210058000
CS,19837928612,2569679872
CSGP,25504375160,394988000
CSGS,2059960058,32272600
CSII,934534370,40579000
CSIQ,2069917200,59997600
CSL,12235956500,52067900
CSSEP,290392500,11615700
CSTE,360963720,34476000
CSTL,888100470,25410600
CSTM,2425510103,141676992
CSTR,463191924,22226100
CSV,792770888,15360800
CSWC,557229553,23925700
CSWI,1756519500,15824500
CSX,75683868088,2178579968
CTAS,44473123840,102416000
CTBI,717152410,17884100
CTG,152182720,15341000
CTIC,486598712,99917600
CTLT,20196682000,179128000
CTMX,181138056,65392800
CTRE,1827402542,97047400
CTRM,159891062,94610096
CTRN,252050507,8495130
CTS,1123670028,32132400
CTSH,46059419052,524535008
CTSO,131387818,43505900
CTT,392167200,49020900
CTVA,42509012196,726774016
CTXR,229267100,146030000
CTXS,12753727770,125913000
CUBE,12089641670,225132992
CUBI,1498104637,32947100
CUE,195423344,33010700
CUK,19545241098,1139000064
CURI,140345590,52761500
CURO,513086775,40242100
CUTR,1177350957,18060300
CUZ,5578612800,148763008
CVAC,3316528480,186952000
CVBF,3197744640,141744000
CVCO,2103318813,9163590
CVCY,263322864,11818800
CVE,33500751200,1995280000
CVEO,336540195,14110700
CVET,2269203431,138535008
CVGI,257115344,32879200
CVGW,659502000,17700000
CVI,2632906890,100531000
CVLG,279811120,14468000
CVLT,2861617512,44559600
CVLY,208473953,9528060
CVM,161418361,43275700
CVNA,9398935000,84500000
CVS,136059617558,1313190016
CVX,325435596979,1947549952
CW,5707950344,38432200
CWBC,121398340,8671310
CWCO,175418979,15267100
CWEN,2958796256,81870400
CWH,1134289610,42166900
CWK,4221502400,224548000
CWST,4475563232,50423200
CWT,3162113745,53713500
CX,6996274848,1472899968
CXW,1360557700,121370000
